,customerid,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
0,15634602,Hargrave,619,France,Female,42,2,0.0,1,yes,yes,101348.88,yes
1,15647311,Hill,608,Spain,Female,41,1,83807.86,1,no,yes,112542.58,no
2,15619304,Onio,502,France,Female,42,8,159660.8,3,yes,no,113931.57,yes
3,15701354,Boni,699,France,Female,39,1,0.0,2,no,no,93826.63,no
4,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,yes,yes,79084.1,no
5,15574012,Chu,645,Spain,Male,44,8,113755.78,2,yes,no,149756.71,yes
6,15592531,Bartlett,822,France,Male,50,7,0.0,2,yes,yes,10062.8,no
7,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,yes,no,119346.88,yes
8,15792365,He,501,France,Male,44,4,142051.07,2,no,yes,74940.5,no
9,15592389,H?,684,France,Male,27,2,134603.88,1,yes,yes,71725.73,no
10,15767821,Bearce,528,France,Male,31,6,102016.72,2,no,no,80181.12,no
11,15737173,Andrews,497,Spain,Male,24,3,0.0,2,yes,no,76390.01,no
12,15632264,Kay,476,France,Female,34,10,0.0,2,yes,no,26260.98,no
13,15691483,Chin,549,France,Female,25,5,0.0,2,no,no,190857.79,no
14,15600882,Scott,635,Spain,Female,35,7,0.0,2,yes,yes,65951.65,no
15,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,no,yes,64327.26,no
16,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,yes,no,5097.67,yes
17,15788218,Henderson,549,Spain,Female,24,9,0.0,2,yes,yes,14406.41,no
18,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,no,no,158684.81,no
19,15568982,Hao,726,France,Female,24,6,0.0,2,yes,yes,54724.03,no
20,15577657,McDonald,732,France,Male,41,8,0.0,2,yes,yes,170886.17,no
21,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,yes,no,138555.46,no
22,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,yes,no,118913.53,yes
23,15725737,Mosman,669,France,Male,46,3,0.0,2,no,yes,8487.75,no
24,15625047,Yen,846,France,Female,38,5,0.0,1,yes,yes,187616.16,no
25,15738191,Maclean,577,France,Male,25,3,0.0,2,no,yes,124508.29,no
26,15736816,Young,756,Germany,Male,36,2,136815.64,1,yes,yes,170041.95,no
27,15700772,Nebechi,571,France,Male,44,9,0.0,2,no,no,38433.35,no
28,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,yes,yes,100187.43,no
29,15656300,Lucciano,411,France,Male,29,0,59697.17,2,yes,yes,53483.21,no
30,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,yes,no,140469.38,yes
31,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,no,yes,156731.91,no
32,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,no,no,81898.81,no
33,15659428,Maggard,520,Spain,Female,42,6,0.0,2,yes,yes,34410.55,no
34,15732963,Clements,722,Spain,Female,29,9,0.0,2,yes,yes,142033.07,no
35,15794171,Lombardo,475,France,Female,45,0,134264.04,1,yes,no,27822.99,yes
36,15788448,Watson,490,Spain,Male,31,3,145260.23,1,no,yes,114066.77,no
37,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,no,yes,98453.45,no
38,15717426,Armstrong,850,France,Male,36,7,0.0,1,yes,yes,40812.9,no
39,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,no,yes,178074.04,no
40,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,yes,no,70154.22,no
41,15738148,Clarke,465,France,Female,51,8,122522.32,1,no,no,181297.65,yes
42,15687946,Osborne,556,France,Female,61,2,117419.35,1,yes,yes,94153.83,no
43,15755196,Lavine,834,France,Female,49,2,131394.56,1,no,no,194365.76,yes
44,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,yes,yes,158338.39,no
45,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,yes,yes,126517.46,no
46,15602280,Martin,829,Germany,Female,27,9,112045.67,1,yes,yes,119708.21,yes
47,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,yes,yes,117622.8,yes
48,15766205,Yin,550,Germany,Male,38,2,103391.38,1,no,yes,90878.13,no
49,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,yes,no,194099.12,no
50,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,yes,no,198059.16,no
51,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,no,no,86424.57,no
52,15683553,O'Brien,788,France,Female,33,5,0.0,2,no,no,116978.19,no
53,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,no,no,164040.94,yes
54,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,yes,no,40014.76,yes
55,15760861,Phillipps,619,France,Male,43,1,125211.92,1,yes,yes,113410.49,no
56,15630053,Tsao,656,France,Male,45,5,127864.4,1,yes,no,87107.57,no
57,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,no,no,45613.75,no
58,15623944,T'ien,511,Spain,Female,66,4,0.0,1,yes,no,1643.11,yes
59,15804771,Velazquez,614,France,Male,51,4,40685.92,1,yes,yes,46775.28,no
60,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,no,no,84509.57,no
61,15773469,Clark,687,Germany,Female,27,9,152328.88,2,no,no,126494.82,no
62,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,no,no,178798.13,no
63,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,yes,yes,99398.36,no
64,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,yes,yes,92840.67,no
65,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,yes,yes,27758.36,no
66,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,yes,no,110431.51,no
67,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,yes,yes,196673.28,no
68,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,no,yes,113656.85,no
69,15755648,Pisano,675,France,Female,21,8,98373.26,1,yes,no,18203.0,no
70,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,yes,no,28373.86,yes
71,15620344,McKee,813,France,Male,29,6,0.0,1,yes,no,33953.87,no
72,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,no,yes,44203.55,no
73,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,yes,yes,58426.81,no
74,15770811,Wallace,519,France,Male,36,9,0.0,2,no,yes,145562.4,no
75,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,yes,no,22388.0,no
76,15614049,Hu,664,France,Male,55,8,0.0,2,yes,yes,139161.64,no
77,15662085,Read,678,France,Female,32,9,0.0,1,yes,yes,148210.64,no
78,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,no,yes,194239.63,no
79,15803136,Postle,416,Germany,Female,41,10,122189.66,2,yes,no,98301.61,no
80,15706021,Buley,665,France,Female,34,1,96645.54,2,no,no,171413.66,no
81,15663706,Leonard,777,France,Female,32,2,0.0,1,yes,no,136458.19,yes
82,15641732,Mills,543,France,Female,36,3,0.0,2,no,no,26019.59,no
83,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,yes,yes,159235.29,no
84,15738751,Beit,493,France,Female,46,4,0.0,2,yes,no,1907.66,no
85,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,yes,yes,114675.75,no
