"fecha_dato","ncodpers","ind_empleado","pais_residencia","sexo","age","fecha_alta","ind_nuevo","antiguedad","indrel","ult_fec_cli_1t","indrel_1mes","tiprel_1mes","indresi","indext","conyuemp","canal_entrada","indfall","tipodom","cod_prov","nomprov","ind_actividad_cliente","renta","segmento"
2016-06-28,  15889,F,ES,V, 56,1995-01-16,0,    256, 1,,1,A,S,N,N,KAT,N,1,28,"MADRID",1,  326124.90,01 - TOP
2016-06-28,1170544,N,ES,H, 36,2013-08-28,0,     34, 1,,1,I,S,N,,KAT,N,1, 3,"ALICANTE",0,         NA,02 - PARTICULARES
2016-06-28,1170545,N,ES,V, 22,2013-08-28,0,     34, 1,,1,A,S,N,,KHE,N,1,15,"CORUÑA, A",1,         NA,03 - UNIVERSITARIO
2016-06-28,1170547,N,ES,H, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1, 8,"BARCELONA",0,  148402.98,03 - UNIVERSITARIO
2016-06-28,1170548,N,ES,H, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1, 7,"BALEARS, ILLES",0,  106885.80,03 - UNIVERSITARIO
2016-06-28,1170550,N,ES,V, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1, 8,"BARCELONA",0,         NA,03 - UNIVERSITARIO
2016-06-28,1170552,N,ES,H, 51,2013-08-28,0,     34, 1,,1,A,S,N,,KFC,N,1,35,"PALMAS, LAS",1,   96395.88,02 - PARTICULARES
2016-06-28,1170553,N,ES,H, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1,45,"TOLEDO",0,         NA,03 - UNIVERSITARIO
2016-06-28,1170555,N,ES,V, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1,28,"MADRID",0,         NA,03 - UNIVERSITARIO
2016-06-28,1170557,N,ES,H, 22,2013-08-28,0,     34, 1,,1,A,S,N,,KHE,N,1,15,"CORUÑA, A",1,   68322.72,03 - UNIVERSITARIO
2016-06-28,1170559,N,ES,H, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1,14,"CORDOBA",0,   39327.87,03 - UNIVERSITARIO
2016-06-28,1170563,N,ES,H, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1,28,"MADRID",0,         NA,03 - UNIVERSITARIO
2016-06-28,1170542,N,ES,H, 22,2013-08-28,0,     34, 1,,1.0,I,S,N,,KHE,N,1, 8,"BARCELONA",0,  108397.08,03 - UNIVERSITARIO
2016-06-28,1170565,N,ES,H, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1,15,"CORUÑA, A",0,         NA,03 - UNIVERSITARIO
2016-06-28,1170568,N,ES,H, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1,30,"MURCIA",0,  124086.75,03 - UNIVERSITARIO
2016-06-28,1170570,N,ES,H, 22,2013-08-28,0,     34, 1,,1,A,S,N,,KHE,N,1,28,"MADRID",1,  154306.95,03 - UNIVERSITARIO
2016-06-28,1170576,N,ES,V, 22,2013-08-28,0,     34, 1,,1,A,S,N,,KHE,N,1,15,"CORUÑA, A",0,  109630.98,03 - UNIVERSITARIO
2016-06-28,1170578,N,ES,V, 41,2013-08-28,0,     34, 1,,1,I,S,N,,KAT,N,1, 8,"BARCELONA",0,   76589.91,02 - PARTICULARES
2016-06-28,1170579,N,ES,H, 36,2013-08-28,0,     34, 1,,1,A,S,N,,KFC,N,1,30,"MURCIA",1,   86862.48,02 - PARTICULARES
2016-06-28,1170581,N,ES,H, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1,28,"MADRID",0,   35746.41,03 - UNIVERSITARIO
2016-06-28,1170583,N,ES,H, 22,2013-08-28,0,     34, 1,,1,A,S,N,,KHE,N,1,28,"MADRID",1,   88322.19,03 - UNIVERSITARIO
2016-06-28,1170585,N,ES,V, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1,16,"CUENCA",0,         NA,03 - UNIVERSITARIO
2016-06-28,1170587,N,ES,H, 33,2013-08-28,0,     34, 1,,1,A,S,N,,KFC,N,1,15,"CORUÑA, A",1,         NA,03 - UNIVERSITARIO
2016-06-28,1170588,N,ES,H, 41,2013-08-28,0,     34, 1,,1,A,S,N,,KFC,N,1,29,"MALAGA",1,   41400.81,02 - PARTICULARES
2016-06-28,1170589,N,ES,H, 22,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1, 3,"ALICANTE",0,   47322.18,03 - UNIVERSITARIO
2016-06-28,1170567,N,ES,V, 23,2013-08-28,0,     34, 1,,1,I,S,N,,KHE,N,1,28,"MADRID",0,   73972.50,03 - UNIVERSITARIO
2016-06-28,1170541,N,ES,V, 43,2013-08-28,0,     34, 1,,1.0,A,S,N,,KFC,N,1,23,"JAEN",1,  122837.70,02 - PARTICULARES
2016-06-28,1170539,N,ES,H, 22,2013-08-28,0,     34, 1,,1.0,I,S,N,,KHE,N,1, 8,"BARCELONA",0,  406046.25,03 - UNIVERSITARIO
2016-06-28,1170538,N,ES,H, 22,2013-08-28,0,     34, 1,,1.0,I,S,N,,KHE,N,1, 8,"BARCELONA",0,         NA,03 - UNIVERSITARIO
2016-06-28,1170493,N,ES,V, 22,2013-08-28,0,     34, 1,,1.0,A,S,N,,KHE,N,1,11,"CADIZ",1,   50311.53,03 - UNIVERSITARIO
2016-06-28,1170495,N,ES,H, 22,2013-08-28,0,     34, 1,,1.0,I,S,N,,KHE,N,1,41,"SEVILLA",0,   40821.57,03 - UNIVERSITARIO
2016-06-28,1170497,N,ES,V, 22,2013-08-28,0,     34, 1,,1.0,I,S,N,,KHE,N,1, 8,"BARCELONA",0,  134534.01,03 - UNIVERSITARIO
